name,status,time_s,tflops,util_percent,error,bm,bh,m,k,h,n
opt_bm_8_bh_128,ok,0.049484698499998106,5.554806137578276,2.8196985469940485,,8,128,4096,1024,16384,1024
opt_bm_8_bh_256,ok,0.047552747599996795,5.780484216310952,2.9342559473659655,,8,256,4096,1024,16384,1024
opt_bm_8_bh_512,ok,0.045958262300001704,5.9810335114430515,3.036057620021854,,8,512,4096,1024,16384,1024
opt_bm_8_bh_1024,ok,0.045891818699999476,5.989693037465154,3.04045331851023,,8,1024,4096,1024,16384,1024
opt_bm_8_bh_2048,ok,0.05753046505000157,4.777953849409957,2.425357283964445,,8,2048,4096,1024,16384,1024
opt_bm_16_bh_128,ok,0.025384277199998452,10.828667870992867,5.496785721316176,,16,128,4096,1024,16384,1024
opt_bm_16_bh_256,ok,0.02413981569999919,11.386909923426186,5.780157321536135,,16,256,4096,1024,16384,1024
opt_bm_16_bh_512,ok,0.023239920849999863,11.827833180593712,6.003976233803915,,16,512,4096,1024,16384,1024
opt_bm_16_bh_1024,ok,0.023166260799996508,11.865441268969976,6.023066633994912,,16,1024,4096,1024,16384,1024
opt_bm_16_bh_2048,ok,0.029066678600003115,9.456804842641034,4.800408549563977,,16,2048,4096,1024,16384,1024
opt_bm_32_bh_128,ok,0.012937461349997648,21.24666497605034,10.78510912489865,,32,128,4096,1024,16384,1024
opt_bm_32_bh_256,ok,0.012108396400003585,22.701429476154136,11.523568262007174,,32,256,4096,1024,16384,1024
opt_bm_32_bh_512,ok,0.011704750450002166,23.484303071489162,11.92096602613663,,32,512,4096,1024,16384,1024
opt_bm_32_bh_1024,ok,0.011661652899999809,23.571093163303164,11.965021910306174,,32,1024,4096,1024,16384,1024
opt_bm_32_bh_2048,ok,0.01476854025000307,18.612395151507464,9.447916320562165,,32,2048,4096,1024,16384,1024
opt_bm_64_bh_128,ok,0.006798954149996916,40.42943971671359,20.52255823183431,,64,128,4096,1024,16384,1024
opt_bm_64_bh_256,ok,0.006197443650000878,44.35343384589888,22.514433424314152,,64,256,4096,1024,16384,1024
opt_bm_64_bh_512,ok,0.006004234700003508,45.78067325446812,23.238920433740162,,64,512,4096,1024,16384,1024
opt_bm_64_bh_1024,ok,0.0059364091999952965,46.30373306210391,23.504433026448684,,64,1024,4096,1024,16384,1024
opt_bm_64_bh_2048,ok,0.007744241099999272,35.49449240985354,18.017508837489107,,64,2048,4096,1024,16384,1024
opt_bm_128_bh_128,ok,0.0037868302999982005,72.58785981091644,36.84662934564286,,128,128,4096,1024,16384,1024
opt_bm_128_bh_256,ok,0.0032760402999997495,83.90553282999022,42.59164103045189,,128,256,4096,1024,16384,1024
opt_bm_128_bh_512,ok,0.0032194888000049104,85.37936424676512,43.339778805464526,,128,512,4096,1024,16384,1024
opt_bm_128_bh_1024,ok,0.00308253979999904,89.17254107930272,45.26524927883387,,128,1024,4096,1024,16384,1024
opt_bm_128_bh_2048,ok,0.004700530249999701,58.47806360655109,29.684296246980246,,128,2048,4096,1024,16384,1024
opt_bm_256_bh_128,ok,0.0023439428500012125,117.2715908768244,59.52872633341341,,256,128,4096,1024,16384,1024
opt_bm_256_bh_256,ok,0.002028596899998547,135.5014921615018,68.78248333071157,,256,256,4096,1024,16384,1024
opt_bm_256_bh_512,ok,0.0018004953999991359,152.66793069514753,77.49641152037945,,256,512,4096,1024,16384,1024
opt_bm_256_bh_1024,ok,0.0017127173999995193,160.49227207248384,81.46815841242835,,256,1024,4096,1024,16384,1024
opt_bm_256_bh_2048,ok,0.0031544612999994115,87.13941329508505,44.23320471831728,,256,2048,4096,1024,16384,1024
opt_bm_512_bh_128,ok,0.0018867108999984338,145.6915879079451,73.95512076545437,,512,128,4096,1024,16384,1024
opt_bm_512_bh_256,ok,0.0016923764000011943,162.4212598000102,82.44734000000517,,512,256,4096,1024,16384,1024
opt_bm_512_bh_512,ok,0.0016599974499968083,165.58935493818288,84.05551012090501,,512,512,4096,1024,16384,1024
opt_bm_512_bh_1024,ok,0.0017071854499988604,161.01232994000944,81.73214717766977,,512,1024,4096,1024,16384,1024
opt_bm_512_bh_2048,ok,0.0023917273999984447,114.92861056999169,58.33939622842218,,512,2048,4096,1024,16384,1024
opt_bm_1024_bh_128,ok,0.001703374950000125,161.37251927062792,81.91498440133397,,1024,128,4096,1024,16384,1024
